ID,Modello,Difficoltà,Numero tessere,Dimensione scacchiera,Tempo esecuzione (s),Totale tessere,Tessere inserite,Tessere non inserite,solver,batch,Modello_Solver
2,domino_posizione,easy,2,4,0.0936768054962158,2,2,0,Gecode,3,domino_posizione_Gecode
2,domino_base,easy,2,4,0.0937733650207519,2,2,0,Gecode,3,domino_base_Gecode
2,domino_inserite,easy,2,4,0.0992932319641113,2,2,0,Gecode,3,domino_inserite_Gecode
3,domino_orientamento,easy,2,4,0.0915126800537109,2,2,0,Gecode,3,domino_orientamento_Gecode
3,domino_posizione,easy,2,4,0.0907692909240722,2,2,0,Gecode,3,domino_posizione_Gecode
3,domino_base,easy,2,4,0.0904908180236816,2,2,0,Gecode,3,domino_base_Gecode
3,domino_inserite,easy,2,4,0.0902011394500732,2,2,0,Gecode,3,domino_inserite_Gecode
4,domino_orientamento,easy,2,2,0.0893845558166503,2,0,2,Gecode,3,domino_orientamento_Gecode
4,domino_posizione,easy,2,2,0.0898940563201904,2,0,2,Gecode,3,domino_posizione_Gecode
4,domino_base,easy,2,2,0.093970775604248,2,0,2,Gecode,3,domino_base_Gecode
4,domino_inserite,easy,2,2,0.0880405902862548,2,0,2,Gecode,3,domino_inserite_Gecode
5,domino_orientamento,medium,8,7,0.2535860538482666,8,8,0,Gecode,3,domino_orientamento_Gecode
5,domino_posizione,medium,8,7,300.1035656929016,8,4,4,Gecode,3,domino_posizione_Gecode
5,domino_base,medium,8,7,0.3427181243896484,8,8,0,Gecode,3,domino_base_Gecode
5,domino_inserite,medium,8,7,0.2968137264251709,8,8,0,Gecode,3,domino_inserite_Gecode
6,domino_orientamento,medium,8,8,0.2364659309387207,8,8,0,Gecode,3,domino_orientamento_Gecode
6,domino_posizione,medium,8,8,300.0990629196167,8,4,4,Gecode,3,domino_posizione_Gecode
6,domino_base,medium,8,8,0.2972261905670166,8,8,0,Gecode,3,domino_base_Gecode
6,domino_inserite,medium,8,8,2.9932940006256104,8,8,0,Gecode,3,domino_inserite_Gecode
7,domino_orientamento,medium,10,9,0.4115049839019775,10,10,0,Gecode,3,domino_orientamento_Gecode
7,domino_posizione,medium,10,9,300.1409478187561,10,5,5,Gecode,3,domino_posizione_Gecode
7,domino_base,medium,10,9,8.169306516647339,10,10,0,Gecode,3,domino_base_Gecode
7,domino_inserite,medium,10,9,1.798656940460205,10,10,0,Gecode,3,domino_inserite_Gecode
8,domino_orientamento,medium,6,6,0.160811185836792,6,6,0,Gecode,3,domino_orientamento_Gecode
8,domino_posizione,medium,6,6,8.874978303909302,6,6,0,Gecode,3,domino_posizione_Gecode
8,domino_base,medium,6,6,301.085679769516,6,14,-8,Gecode,3,domino_base_Gecode
8,domino_inserite,medium,6,6,0.3102576732635498,6,6,0,Gecode,3,domino_inserite_Gecode
9,domino_orientamento,hard,19,14,300.38898253440857,19,13,6,Gecode,3,domino_orientamento_Gecode
9,domino_posizione,hard,19,14,300.4021451473236,19,8,11,Gecode,3,domino_posizione_Gecode
9,domino_base,hard,19,14,300.39813709259033,19,10,9,Gecode,3,domino_base_Gecode
9,domino_inserite,hard,19,14,300.4072229862213,19,10,9,Gecode,3,domino_inserite_Gecode
10,domino_orientamento,hard,15,15,40.43926692008972,15,15,0,Gecode,3,domino_orientamento_Gecode
10,domino_posizione,hard,15,15,300.2525706291199,15,9,6,Gecode,3,domino_posizione_Gecode
10,domino_base,hard,15,15,154.24592685699463,15,15,0,Gecode,3,domino_base_Gecode
10,domino_inserite,hard,15,15,117.89652037620544,15,15,0,Gecode,3,domino_inserite_Gecode
1,domino_base,easy,6,3,0.1846306324005127,6,2,4,chuffed,3,domino_base_chuffed
2,domino_base,easy,2,4,0.0900943279266357,2,2,0,chuffed,3,domino_base_chuffed
3,domino_base,easy,2,4,0.0910890102386474,2,2,0,chuffed,3,domino_base_chuffed
4,domino_base,easy,2,2,0.0923395156860351,2,0,2,chuffed,3,domino_base_chuffed
5,domino_base,medium,8,7,0.2938697338104248,8,8,0,chuffed,3,domino_base_chuffed
6,domino_base,medium,8,8,0.286327600479126,8,8,0,chuffed,3,domino_base_chuffed
7,domino_base,medium,10,9,0.4893279075622558,10,10,0,chuffed,3,domino_base_chuffed
8,domino_base,medium,6,6,0.1715309619903564,6,6,0,chuffed,3,domino_base_chuffed
9,domino_base,hard,19,14,4.329370021820068,19,19,0,chuffed,3,domino_base_chuffed
